country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Equatorial Guinea,700,720,970,1050,1010,1060,1680,4470,4800,6290,5620,5610,7380,6720,8240,14300,23600,27100,28800,25000,19600,22400,24300,23400,22800,22300,20300,19500,17500
Eritrea,,,1050,1230,1540,1650,1800,1990,2060,2060,1980,2120,2110,1990,1970,2020,2000,2030,1820,1870,1900,2080,,,,,,,
Estonia,,,,,,,,,,,9070,9810,11100,12400,13700,15900,18300,20500,21500,19900,20400,23300,25000,26900,28100,28600,30200,32800,35000
Ethiopia,420,390,350,390,400,420,470,470,450,470,490,530,530,510,580,650,730,810,890,950,1050,1160,1250,1360,1490,1620,1740,1890,2010
Fiji,3690,3700,3950,4070,4250,4510,4790,4700,4690,5140,5420,5470,5820,5940,6400,6710,6620,6790,6900,6940,6980,7290,7470,8100,8470,8960,9260,9700,10100
Finland,17800,17100,16600,16600,17700,19000,19600,21500,23100,24500,26600,27800,28700,28900,31400,32200,34700,37900,40200,38500,39500,41100,41100,41700,42200,43000,44200,46700,48600
France,17700,18400,19000,19300,20000,20800,21500,22500,23700,24800,26500,28000,28800,28500,29400,31000,33100,34800,35900,35500,36700,38400,38500,40400,41000,41700,42900,45300,46400
Gabon,11400,12200,11400,11600,12300,12600,13000,13600,14200,12700,12000,12600,13000,12900,12400,13600,12800,13300,12800,12900,13200,13800,14900,15500,16600,16300,16500,16600,16700
Gambia,1460,1580,1620,1660,1650,1650,1670,1710,1730,1800,1880,1950,1840,1960,2140,2090,2070,2130,2250,2340,2440,2210,2300,2340,2270,2320,2330,2420,2570
Georgia,,,2440,1730,1610,1700,2040,2510,2730,2910,3050,3220,3460,3940,4360,4930,5650,6460,6650,6530,6940,7680,8550,8960,9620,9820,9990,10600,11500
Germany,19700,21100,21800,21900,22800,23500,24100,24500,25200,26100,27100,28200,28900,29600,31500,32100,34700,36800,38200,37700,39700,43600,44400,46000,48000,48800,50700,53400,54600
Ghana,1210,1280,1320,1380,1410,1460,1520,1570,1620,1670,1710,1790,1860,1940,2050,2210,2370,2480,2690,2770,2920,3260,3480,3830,3880,3990,4060,4340,4650
Greece,13600,14400,14700,14700,15200,15800,16400,17300,18100,18300,19700,21100,22600,23800,25100,25600,28000,28500,29900,29700,27600,25400,25500,26100,27000,26900,27300,28600,29700
Grenada,4500,4800,4860,4780,4910,5010,5270,5590,6240,6720,7100,6970,7220,8050,7980,10000,9860,10600,10900,9880,10200,10600,10600,11000,11300,11800,12600,13300,14100
Guatemala,3230,3430,3580,3730,3880,4060,4140,4300,4490,4610,4780,4910,5010,5110,5280,5490,5790,6170,6380,6290,6400,6630,6880,7120,7370,7620,7780,8020,8310
Guinea,820,850,880,940,980,1020,1050,1090,1110,1150,1180,1210,1300,1230,1270,1290,1440,1540,1600,1540,1610,1690,1790,1790,1880,1950,2140,2360,2460
Guinea-Bissau,1010,1050,1070,1090,1130,1160,1300,1400,990,1000,1090,1100,1110,1100,1140,1200,1250,1300,1320,1340,1400,1520,1480,1470,1560,1610,1690,1740,1800
Guyana,1360,1250,1580,1970,2300,2500,2950,3120,3180,3270,3450,3570,3660,3770,4000,4110,4700,5120,5250,5470,5670,6080,6520,6870,7370,7620,7760,7950,8420
Haiti,1330,1370,1300,1240,1100,1210,1270,1300,1320,1350,1370,1360,1350,1350,1320,1360,1420,1480,1500,1540,1480,1580,1630,1700,1760,1770,1800,1830,1880
Honduras,1960,1900,1990,2150,2140,2250,2270,2380,2430,2400,2550,2600,2650,2740,2890,3100,3320,3600,3730,3560,3660,3760,3860,3950,4040,4230,4360,4570,4790
Hungary,,,,8200,8600,8780,8920,9230,9750,10200,11200,12500,13700,14600,15200,16000,17200,17700,19300,19800,20600,21800,22200,23800,24500,25500,26500,28000,29900
Iceland,21500,22100,21600,22200,23100,23500,24500,26500,28200,29000,28700,30800,32700,32400,34300,35500,36300,38800,34100,33600,32200,34600,36700,42100,43500,46500,50300,54100,55200
India,1220,1250,1320,1390,1480,1600,1720,1790,1890,2050,2130,2250,2340,2530,2750,3020,3310,3610,3730,4000,4310,4580,4850,5190,5620,6060,6560,7090,7680
Indonesia,2850,3100,3330,3600,3940,4280,4640,4850,4090,4030,4310,4650,4900,5120,5400,5800,6260,6750,7240,7540,8060,8610,9180,9710,10200,10700,11200,11900,12700
Iran,7400,8390,8650,8830,8650,9080,9350,9540,9830,9780,10500,10700,11600,12600,13300,14000,15000,16600,16700,16800,17800,18400,17300,17300,18200,17900,20200,21100,
Iraq,7390,2670,3540,4630,4770,4820,5280,6230,8240,9490,9660,9790,8900,6010,9270,9880,11000,11300,12700,12600,13000,13700,15400,16100,15900,15900,18000,17300,17200
Ireland,12800,13400,13900,14600,15800,17300,18800,20500,22500,23500,26300,27800,29500,31200,33400,35000,38800,40400,38400,34800,36300,36500,37300,40500,43200,53000,57900,61200,67100
Israel,14600,15500,16500,17100,18200,19400,20100,20700,21300,21600,23400,23900,24300,23000,24500,24600,25600,27500,26900,26800,28300,30100,30900,33500,34000,35100,37100,38500,39900
Italy,18400,19200,19800,20100,21000,22100,22800,23800,24900,25600,27000,28000,28600,29000,29500,30200,32600,34100,35200,34600,35100,36500,36400,36300,36200,36700,39300,41400,42300
